loss,policy_output_loss,value_output_loss
1.2122161360674126,2.0913819601369457,0.0024023442204261936
1.3022243452072144,2.2683362197875976,0.005208582701161504
1.4409146642684936,2.547684841156006,0.0032111599016934633
1.4357135820388793,2.5387159538269044,0.0017378873098641634
1.2316431999206543,2.1281954574584963,0.003893948923796415
1.3158995246887206,2.2982107067108153,0.0023180449195206163
1.21397882938385,2.094979100227356,0.0015290477871894837
0.6015011234716936,0.8699163631959395,0.0009635999714109031
0.7998559880256653,1.2662280368804932,0.0010564013989642262
0.9329634690284729,1.5312774467468262,0.0019471734901890159
0.6118606448173523,0.8897748756408691,0.0008233952149748802
0.9864303636550903,1.6382626962661744,0.0011698332196101546
0.5282745766639709,0.7212942481040955,0.0012115687620826065
0.8768193745613098,1.4176437187194824,0.0016018166486173868
0.3898966383934021,0.4430379414558411,0.0017944349721074103
0.8049473094940186,1.272876923084259,0.0016899841278791427
0.6671160936355591,0.9944746088981629,0.003973958035930991
0.32073057651519776,0.30283224940299985,0.0023357600439339876
0.7499480628967286,1.1627920150756836,0.0004413507122080773
0.4199053382873535,0.5010020804405212,0.0016783854179084302
0.34927847504615783,0.35986419916152956,0.0011007176991552113
0.6057884716987609,0.8693487358093261,0.004252833463251591
0.37981987595558164,0.4210042953491211,0.0002642611810006201
0.2518678730726242,0.16380043923854828,0.001226052480051294
0.4586832547187805,0.5732696104049683,0.005021984241902828
0.22648485422134398,0.11319232165813446,0.0005663029896095395
0.30077768087387086,0.2591471838951111,0.002865006551146507
0.36854456305503847,0.3960558390617371,0.0011644304741639643
0.2925076687335968,0.2428699725866318,0.002068306333385408
0.22223278174274846,0.10397381609991978,4.771088884138551e-05
0.26747306287288664,0.1942033886909485,0.00023188748164102436
0.2636115229129791,0.18591267347335816,0.0006281087799288798
0.2930181872844696,0.24493069529533387,0.0001867648315965198
0.36017444133758547,0.3783426570892334,0.0007801992073655129
0.3645490324497223,0.38680325746536254,0.0008117765793576836
0.2487701553106308,0.15395502030849456,0.00195995201356709
0.2991490459442139,0.2564095103740692,0.0001238383282907307
0.20520680646101633,0.06718531002600987,0.0015174881555140018
0.21508652807735815,0.08557797604944647,0.0028785208421872885
0.33612983107566835,0.33000475525856016,0.00039676060201600195
0.21890935122966768,0.09561778575181962,0.00039010750595480203
0.37230349898338316,0.4021908760070801,0.0005051077343523503
0.20943354189395905,0.07680782407522202,0.00022245804604608565
0.20536490281422934,0.0682747835914294,0.0007083392605030289
0.2875184619426727,0.23298035621643065,0.00033386733732186256
0.2279527187347412,0.11362472832202912,0.0005942142562707886
0.26483720779418946,0.1874484932422638,0.00045116114895790813
0.23343923330307007,0.12508026301860808,0.00014342256588861346
0.3401927101612091,0.33829268932342527,0.0004605135985184461
0.21301863670349122,0.08420955270528793,0.00030699912924319505
0.27450704216957095,0.2074615740776062,6.12816767534241e-05
0.2228141224384308,0.10366681486368179,0.0006043732259422541
0.20059537887573242,0.05984806641936302,0.0001478025078540668
0.20479089379310608,0.06834552705287933,0.0002520615409594029
0.1990409290790558,0.05626287236809731,0.0010507705365307629
0.2127915745973587,0.08429889559745789,0.0007580945990048348
0.2069191986322403,0.07338421404361725,0.00014822955126874148
0.19661770213623436,0.052878654656969774,0.0002777960712128148
0.2203580379486084,0.10043839573860168,0.0003091434296220541
0.20616428971290587,0.07229289650917053,0.00021924611006397755
0.19187084478991373,0.04401154319445292,9.694083876508688e-05
0.2520973390340805,0.16442874431610108,0.0003160223294980824
0.20044949650764465,0.06148570708253167,0.00022476968429559335
0.21314658343791962,0.08718257933855057,8.749093627557159e-05
0.21146625757217408,0.08405036717653275,6.756044356734492e-05
0.2349180281162262,0.12966689467430115,0.0015231726318597793
0.2260463273525238,0.11319507718086243,0.0004511555633507669
0.19907487332820892,0.05982623696327209,0.0001552126187016256
0.20183094322681427,0.06555244863033295,0.0001731701081735082
0.20658765375614166,0.07511471748352051,0.00036113593727350236
0.2836723828315735,0.22913309812545776,0.0006330593617167324
0.23704826593399048,0.13623843789100648,0.00040891225216910243
0.20554010752512483,0.07280377724340983,0.0010673923023539235
0.1927649546892215,0.048147003046977215,0.00029582985100718454
0.2569748020172119,0.1760597938299179,0.0009482453670352697
0.3042430353164673,0.2707186231017113,0.0009106521960347891
0.24094683706760406,0.14468518793582916,0.0004963641916401685
0.1996074737537475,0.06246793305590039,0.00023250144884167683
